,SCHOOL_ID,NRC_DESC,COUNTY_DESC,ITEM_SUBJECT_AREA,GRADE,SUBGROUP_NAME,TOTAL_TESTED,MEAN_SCALE_SCORE_2017,MEAN_SCALE_SCORE_2018,MEAN_SCALE_SCORE_2019
103124,BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL (ALBANY),Average Needs,ALBANY,Mathematics,4,All Students,52,305,599,601
103134,BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL (ALBANY),Average Needs,ALBANY,ELA,5,All Students,60,298,601,600
103144,BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL (ALBANY),Average Needs,ALBANY,Mathematics,5,All Students,60,311,600,602
103154,BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL (ALBANY),Average Needs,ALBANY,ELA,6,All Students,58,293,600,603
103164,BERNE-KNOX-WESTERLO ELEMENTARY SCHOOL (ALBANY),Average Needs,ALBANY,Mathematics,6,All Students,60,298,605,603
103351,ELSMERE ELEMENTARY SCHOOL (ALBANY),Low Needs,ALBANY,ELA,3,All Students,34,342,623,619
103362,ELSMERE ELEMENTARY SCHOOL (ALBANY),Low Needs,ALBANY,Mathematics,3,All Students,40,330,618,618
103374,ELSMERE ELEMENTARY SCHOOL (ALBANY),Low Needs,ALBANY,ELA,4,All Students,48,321,615,610
103385,ELSMERE ELEMENTARY SCHOOL (ALBANY),Low Needs,ALBANY,Mathematics,4,All Students,48,319,606,614
103396,ELSMERE ELEMENTARY SCHOOL (ALBANY),Low Needs,ALBANY,ELA,5,All Students,36,322,609,608
103407,ELSMERE ELEMENTARY SCHOOL (ALBANY),Low Needs,ALBANY,Mathematics,5,All Students,37,326,609,612
103418,GLENMONT ELEMENTARY SCHOOL (ALBANY),Low Needs,ALBANY,ELA,3,All Students,55,324,608,603
103430,GLENMONT ELEMENTARY SCHOOL (ALBANY),Low Needs,ALBANY,Mathematics,3,All Students,55,325,605,604
103442,GLENMONT ELEMENTARY SCHOOL (ALBANY),Low Needs,ALBANY,ELA,4,All Students,61,324,611,603
103453,GLENMONT ELEMENTARY SCHOOL (ALBANY),Low Needs,ALBANY,Mathematics,4,All Students,62,326,609,609
103464,GLENMONT ELEMENTARY SCHOOL (ALBANY),Low Needs,ALBANY,ELA,5,All Students,63,319,616,610
103477,GLENMONT ELEMENTARY SCHOOL (ALBANY),Low Needs,ALBANY,Mathematics,5,All Students,65,322,612,609
103490,HAMAGRAEL ELEMENTARY SCHOOL (ALBANY),Low Needs,ALBANY,ELA,3,All Students,57,323,615,607
103502,HAMAGRAEL ELEMENTARY SCHOOL (ALBANY),Low Needs,ALBANY,Mathematics,3,All Students,56,315,611,607
103513,HAMAGRAEL ELEMENTARY SCHOOL (ALBANY),Low Needs,ALBANY,ELA,4,All Students,55,308,607,607
103524,HAMAGRAEL ELEMENTARY SCHOOL (ALBANY),Low Needs,ALBANY,Mathematics,4,All Students,54,320,610,614
103535,HAMAGRAEL ELEMENTARY SCHOOL (ALBANY),Low Needs,ALBANY,ELA,5,All Students,49,324,608,609
103546,HAMAGRAEL ELEMENTARY SCHOOL (ALBANY),Low Needs,ALBANY,Mathematics,5,All Students,48,322,603,611
103557,SLINGERLANDS ELEMENTARY SCHOOL (ALBANY),Low Needs,ALBANY,ELA,3,All Students,60,328,610,609
103570,SLINGERLANDS ELEMENTARY SCHOOL (ALBANY),Low Needs,ALBANY,Mathematics,3,All Students,57,318,604,610
103584,SLINGERLANDS ELEMENTARY SCHOOL (ALBANY),Low Needs,ALBANY,ELA,4,All Students,71,329,615,611
103596,SLINGERLANDS ELEMENTARY SCHOOL (ALBANY),Low Needs,ALBANY,Mathematics,4,All Students,71,334,611,614
103608,SLINGERLANDS ELEMENTARY SCHOOL (ALBANY),Low Needs,ALBANY,ELA,5,All Students,82,324,613,611
103622,SLINGERLANDS ELEMENTARY SCHOOL (ALBANY),Low Needs,ALBANY,Mathematics,5,All Students,80,322,608,607
103636,BETHLEHEM CENTRAL MIDDLE SCHOOL (ALBANY),Low Needs,ALBANY,ELA,6,All Students,282,313,606,604
103651,BETHLEHEM CENTRAL MIDDLE SCHOOL (ALBANY),Low Needs,ALBANY,Mathematics,6,All Students,269,328,613,612
103666,BETHLEHEM CENTRAL MIDDLE SCHOOL (ALBANY),Low Needs,ALBANY,ELA,7,All Students,298,326,609,605
103680,BETHLEHEM CENTRAL MIDDLE SCHOOL (ALBANY),Low Needs,ALBANY,Mathematics,7,All Students,256,325,607,612
103695,BETHLEHEM CENTRAL MIDDLE SCHOOL (ALBANY),Low Needs,ALBANY,ELA,8,All Students,258,326,609,602
103709,BETHLEHEM CENTRAL MIDDLE SCHOOL (ALBANY),Low Needs,ALBANY,Mathematics,8,All Students,144,311,607,605
103723,EAGLE ELEMENTARY SCHOOL (ALBANY),Low Needs,ALBANY,ELA,3,All Students,62,319,607,607
103734,EAGLE ELEMENTARY SCHOOL (ALBANY),Low Needs,ALBANY,Mathematics,3,All Students,62,324,606,611
103746,EAGLE ELEMENTARY SCHOOL (ALBANY),Low Needs,ALBANY,ELA,4,All Students,72,317,603,607
103758,EAGLE ELEMENTARY SCHOOL (ALBANY),Low Needs,ALBANY,Mathematics,4,All Students,72,320,607,611
103770,EAGLE ELEMENTARY SCHOOL (ALBANY),Low Needs,ALBANY,ELA,5,All Students,72,316,605,604
103781,EAGLE ELEMENTARY SCHOOL (ALBANY),Low Needs,ALBANY,Mathematics,5,All Students,71,330,607,606
103946,ALBERTUS W BECKER SCHOOL (ALBANY),Average Needs,ALBANY,ELA,3,All Students,44,313,609,601
103957,ALBERTUS W BECKER SCHOOL (ALBANY),Average Needs,ALBANY,Mathematics,3,All Students,42,312,603,606
103968,ALBERTUS W BECKER SCHOOL (ALBANY),Average Needs,ALBANY,ELA,4,All Students,51,316,603,603
103980,ALBERTUS W BECKER SCHOOL (ALBANY),Average Needs,ALBANY,Mathematics,4,All Students,49,312,602,604
103992,ALBERTUS W BECKER SCHOOL (ALBANY),Average Needs,ALBANY,ELA,5,All Students,45,316,603,598
104005,ALBERTUS W BECKER SCHOOL (ALBANY),Average Needs,ALBANY,Mathematics,5,All Students,44,328,599,601
104017,PIETER B COEYMANS SCHOOL (ALBANY),Average Needs,ALBANY,ELA,3,All Students,74,309,607,596
104029,PIETER B COEYMANS SCHOOL (ALBANY),Average Needs,ALBANY,Mathematics,3,All Students,70,304,600,592
104041,PIETER B COEYMANS SCHOOL (ALBANY),Average Needs,ALBANY,ELA,4,All Students,38,308,594,606
104054,PIETER B COEYMANS SCHOOL (ALBANY),Average Needs,ALBANY,Mathematics,4,All Students,41,317,598,601
104067,PIETER B COEYMANS SCHOOL (ALBANY),Average Needs,ALBANY,ELA,5,All Students,42,307,601,599
104080,PIETER B COEYMANS SCHOOL (ALBANY),Average Needs,ALBANY,Mathematics,5,All Students,42,318,596,599
104093,RAVENA-COEYMANS-SELKIRK MIDDLE SCHOOL (ALBANY),Average Needs,ALBANY,ELA,6,All Students,81,297,600,598
104106,RAVENA-COEYMANS-SELKIRK MIDDLE SCHOOL (ALBANY),Average Needs,ALBANY,Mathematics,6,All Students,80,310,601,598
104119,RAVENA-COEYMANS-SELKIRK MIDDLE SCHOOL (ALBANY),Average Needs,ALBANY,ELA,7,All Students,84,295,593,595
104132,RAVENA-COEYMANS-SELKIRK MIDDLE SCHOOL (ALBANY),Average Needs,ALBANY,Mathematics,7,All Students,76,313,600,603
104145,RAVENA-COEYMANS-SELKIRK MIDDLE SCHOOL (ALBANY),Average Needs,ALBANY,ELA,8,All Students,57,296,595,594
104158,RAVENA-COEYMANS-SELKIRK MIDDLE SCHOOL (ALBANY),Average Needs,ALBANY,Mathematics,8,All Students,37,289,600,594
104344,ABRAM LANSING SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,3,All Students,66,312,600,599
104357,ABRAM LANSING SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,Mathematics,3,All Students,67,307,595,600
104370,ABRAM LANSING SCHOOL (ALBANY),Urban-Suburban High Needs,ALBANY,ELA,4,All Students,63,311,591,593
